fold,held_out_years,mean_second_stage_cost,max_second_stage_cost,mean_ens_mwh,max_ens_mwh,mean_total_proxy,max_total_proxy,baseline_wc_second_stage,baseline_wc_ens,baseline_ccg_lb
l2o_recent,"2016,2017",4576964.715392213,5769015.480850017,1783.348000952188,2791.264798992045,4732364.715392213,5924415.480850017,5435807.669248076,2912.444717470847,4237913.372959996
l2o_early,"1980,1981",3682005.235478452,4366014.002020575,1098.7932159660681,1625.4334090182037,3837405.235478452,4521414.002020575,5435807.669248076,2912.444717470847,4237913.372959996
l2o_mid,"1998,1999",4678754.206843129,4964781.694742957,1778.1865525485166,2042.3168376384751,4834154.206843129,5120181.694742957,5435807.669248076,2912.444717470847,4237913.372959996
