fold,held_out,n_years_kept,mean_width_ab_horizon,mean_width_ka_horizon,mean_width_ab_full,mean_width_ka_full,baseline_width_ab_horizon,baseline_width_ka_horizon,delta_ab_pct,delta_ka_pct
l2o_recent,"2016,2017",36,3.381653308868408,1.7495863437652588,3.425906181335449,2.012446641921997,3.3964645694444444,1.7761765228174604,-0.43607875993415535,-1.4970459698466776
l2o_early,"1980,1981",36,3.3884966373443604,1.7536967992782593,3.4306466579437256,2.0080933570861816,3.3964645694444444,1.7761765228174604,-0.2345948835081546,-1.265624404467558
l2o_mid,"1998,1999",36,3.382540225982666,1.768110275268555,3.4301717281341557,1.997036337852478,3.3964645694444444,1.7761765228174604,-0.40996580936087934,-0.45413546712747
baseline_rebuild_all38,,38,3.3964645862579346,1.7761765718460083,3.435986280441284,2.036111831665039,3.3964645694444444,1.7761765228174604,4.950291732086498e-07,2.760342066032706e-06
