horizon_hour,week,weekday,hour,demand
220,2,2,4,15.4825
221,2,2,5,15.08375
222,2,2,6,15.63375
223,2,2,7,18.02625
224,2,2,8,20.33625
225,2,2,9,22.28875
226,2,2,10,22.89375
227,2,2,11,23.43
228,2,2,12,24.365
229,2,2,13,23.76
230,2,2,14,23.5675
231,2,2,15,23.32
232,2,2,16,23.5125
233,2,2,17,22.935
234,2,2,18,22.66
235,2,2,19,21.57375
236,2,2,20,21.7525
237,2,2,21,22.495
238,2,2,22,23.55375
239,2,2,23,22.70125
240,2,3,0,19.14
241,2,3,1,17.16
242,2,3,2,15.74375
243,2,3,3,15.235
244,2,3,4,14.63
245,2,3,5,14.74
246,2,3,6,14.9875
247,2,3,7,17.38
248,2,3,8,19.62125
249,2,3,9,21.505
250,2,3,10,22.165
251,2,3,11,22.66
252,2,3,12,23.16875
253,2,3,13,23.05875
254,2,3,14,22.6325
255,2,3,15,22.3575
256,2,3,16,21.9725
257,2,3,17,21.6975
258,2,3,18,21.2575
259,2,3,19,21.10625
260,2,3,20,20.7075
261,2,3,21,21.62875
262,2,3,22,22.83875
263,2,3,23,21.18875
264,2,4,0,19.195
265,2,4,1,17.11875
266,2,4,2,15.3725
267,2,4,3,14.89125
268,2,4,4,14.58875
269,2,4,5,14.85
270,2,4,6,15.79875
271,2,4,7,17.71
272,2,4,8,19.58
273,2,4,9,21.5875
274,2,4,10,22.31625
275,2,4,11,23.08625
276,2,4,12,23.6775
277,2,4,13,23.88375
278,2,4,14,23.1275
279,2,4,15,22.3025
280,2,4,16,21.65625
281,2,4,17,21.23
282,2,4,18,21.01
283,2,4,19,20.2125
284,2,4,20,20.35
285,2,4,21,21.40875
286,2,4,22,22.34375
287,2,4,23,20.9275
288,2,5,0,18.79625
289,2,5,1,16.9125
290,2,5,2,15.52375
291,2,5,3,14.56125
292,2,5,4,14.3
293,2,5,5,14.245
294,2,5,6,13.95625
295,2,5,7,14.20375
296,2,5,8,15.79875
297,2,5,9,18.13625
298,2,5,10,19.6075
299,2,5,11,20.735
300,2,5,12,20.74875
301,2,5,13,21.0925
302,2,5,14,20.6525
303,2,5,15,20.3225
304,2,5,16,19.51125
305,2,5,17,19.085
306,2,5,18,19.525
307,2,5,19,19.635
308,2,5,20,19.525
309,2,5,21,20.7075
310,2,5,22,21.3125
311,2,5,23,19.745
312,2,6,0,18.0125
313,2,6,1,16.43125
314,2,6,2,14.19
315,2,6,3,13.475
316,2,6,4,13.035
317,2,6,5,12.9525
318,2,6,6,12.76
319,2,6,7,12.6775
320,2,6,8,14.08
321,2,6,9,15.07
322,2,6,10,16.885
323,2,6,11,18.0675
324,2,6,12,19.4425
325,2,6,13,20.33625
326,2,6,14,20.24
327,2,6,15,20.11625
328,2,6,16,18.8375
329,2,6,17,18.24625
330,2,6,18,18.54875
331,2,6,19,19.25
332,2,6,20,20.2125
333,2,6,21,21.615
334,2,6,22,21.6975
335,2,6,23,20.405
336,3,0,0,18.57625
337,3,0,1,16.6375
338,3,0,2,15.29
339,3,0,3,14.6025
340,3,0,4,14.12125
341,3,0,5,14.3275
342,3,0,6,14.69875
343,3,0,7,16.67875
344,3,0,8,18.27375
345,3,0,9,20.2675
346,3,0,10,21.395
347,3,0,11,23.0175
348,3,0,12,23.7875
349,3,0,13,23.71875
350,3,0,14,23.815
351,3,0,15,23.8425
352,3,0,16,23.3475
353,3,0,17,22.33
354,3,0,18,21.29875
355,3,0,19,21.1475
356,3,0,20,20.79
357,3,0,21,21.46375
358,3,0,22,23.265
359,3,0,23,21.6975
360,3,1,0,19.305
361,3,1,1,17.0225
362,3,1,2,15.8125
363,3,1,3,15.22125
364,3,1,4,14.85
365,3,1,5,14.905
366,3,1,6,15.24875
367,3,1,7,17.435
368,3,1,8,19.15375
369,3,1,9,21.21625
370,3,1,10,22.99
371,3,1,11,23.5125
372,3,1,12,24.24125
373,3,1,13,24.1175
374,3,1,14,23.69125
375,3,1,15,23.85625
376,3,1,16,23.2925
377,3,1,17,23.00375
378,3,1,18,22.715
379,3,1,19,22.17875
380,3,1,20,21.5325
381,3,1,21,22.5225
382,3,1,22,23.38875
383,3,1,23,22.01375
384,3,2,0,19.4975
385,3,2,1,17.5175
386,3,2,2,16.445
387,3,2,3,15.895
388,3,2,4,15.4
389,3,2,5,15.4
390,3,2,6,15.68875
391,3,2,7,17.215
392,3,2,8,19.3325
393,3,2,9,21.67
394,3,2,10,22.6325
395,3,2,11,23.3475
396,3,2,12,24.04875
397,3,2,13,24.145
398,3,2,14,24.0075
399,3,2,15,24.0625
400,3,2,16,23.1
401,3,2,17,22.1925
402,3,2,18,21.8075
403,3,2,19,22.01375
404,3,2,20,21.32625
405,3,2,21,22.04125
406,3,2,22,22.64625
407,3,2,23,20.8725
408,3,3,0,19.1125
409,3,3,1,17.1325
410,3,3,2,15.8675
411,3,3,3,15.4275
412,3,3,4,15.2075
413,3,3,5,14.8775
414,3,3,6,15.235
415,3,3,7,17.105
416,3,3,8,19.7175
417,3,3,9,21.285
418,3,3,10,22.055
419,3,3,11,23.32
420,3,3,12,23.7325
421,3,3,13,23.8425
422,3,3,14,23.595
423,3,3,15,23.1825
424,3,3,16,23.43
425,3,3,17,23.1
426,3,3,18,23.1275
427,3,3,19,23.32
428,3,3,20,22.4675
429,3,3,21,23.3475
430,3,3,22,23.8425
431,3,3,23,22.75625
432,3,4,0,19.855
433,3,4,1,17.3525
434,3,4,2,16.61
435,3,4,3,15.8675
436,3,4,4,15.49625
437,3,4,5,15.0975
438,3,4,6,15.4275
439,3,4,7,16.775
440,3,4,8,19.0575
441,3,4,9,20.68
442,3,4,10,21.9175
443,3,4,11,23.21
444,3,4,12,23.6225
445,3,4,13,23.76
446,3,4,14,22.7975
447,3,4,15,22.7975
448,3,4,16,22.48125
449,3,4,17,22.11
450,3,4,18,21.54625
451,3,4,19,21.175
452,3,4,20,20.58375
453,3,4,21,20.80375
454,3,4,22,21.79375
455,3,4,23,21.02375
456,3,5,0,18.79625
457,3,5,1,16.6375
458,3,5,2,15.0425
459,3,5,3,14.6025
460,3,5,4,13.87375
461,3,5,5,13.8325
462,3,5,6,13.805
463,3,5,7,13.6125
464,3,5,8,15.5375
465,3,5,9,17.6
466,3,5,10,19.58
467,3,5,11,20.8725
468,3,5,12,21.01
469,3,5,13,21.6975
470,3,5,14,20.91375
471,3,5,15,20.5975
472,3,5,16,19.95125
473,3,5,17,19.7725
474,3,5,18,20.0475
475,3,5,19,18.865
476,3,5,20,17.88875
477,3,5,21,19.8825
478,3,5,22,21.07875
479,3,5,23,19.12625
480,3,6,0,17.27
481,3,6,1,15.5925
482,3,6,2,14.245
483,3,6,3,13.585
484,3,6,4,13.3375
485,3,6,5,12.96625
486,3,6,6,12.43
487,3,6,7,12.21
488,3,6,8,13.76375
489,3,6,9,15.6475
490,3,6,10,17.44875
491,3,6,11,18.16375
492,3,6,12,19.14
493,3,6,13,19.8825
494,3,6,14,19.3875
495,3,6,15,18.60375
496,3,6,16,18.3425
497,3,6,17,18.15
498,3,6,18,18.26
499,3,6,19,18.645
500,3,6,20,18.81
501,3,6,21,19.9375
502,3,6,22,21.67
503,3,6,23,20.6525
504,4,0,0,18.8375
505,4,0,1,16.8575
506,4,0,2,14.9875
507,4,0,3,14.41
508,4,0,4,14.2725
509,4,0,5,14.1625
510,4,0,6,14.575
511,4,0,7,16.3075
512,4,0,8,18.3975
513,4,0,9,20.6525
514,4,0,10,22.0275
515,4,0,11,22.9625
516,4,0,12,23.7875
517,4,0,13,24.3925
518,4,0,14,24.365
519,4,0,15,24.4475
520,4,0,16,24.475
521,4,0,17,24.24125
522,4,0,18,23.815
523,4,0,19,23.21
524,4,0,20,22.89375
525,4,0,21,23.045
526,4,0,22,24.02125
527,4,0,23,22.34375
528,4,1,0,19.525
529,4,1,1,18.08125
530,4,1,2,16.29375
531,4,1,3,15.19375
532,4,1,4,14.75375
533,4,1,5,14.7125
534,4,1,6,15.4
535,4,1,7,17.4075
536,4,1,8,19.7175
537,4,1,9,21.945
538,4,1,10,22.825
539,4,1,11,24.2275
540,4,1,12,23.925
541,4,1,13,23.98
542,4,1,14,24.0075
543,4,1,15,24.255
544,4,1,16,23.7325
545,4,1,17,22.99
546,4,1,18,22.77
547,4,1,19,22.20625
548,4,1,20,21.945
549,4,1,21,23.55375
550,4,1,22,22.935
551,4,1,23,21.34
552,4,2,0,18.9475
553,4,2,1,16.61
554,4,2,2,15.2075
555,4,2,3,14.9325
556,4,2,4,14.56125
557,4,2,5,14.6025
558,4,2,6,15.71625
559,4,2,7,17.215
560,4,2,8,18.81
561,4,2,9,21.615
562,4,2,10,22.715
563,4,2,11,23.6225
564,4,2,12,24.3375
565,4,2,13,24.2825
566,4,2,14,23.99375
567,4,2,15,24.09
568,4,2,16,23.87
569,4,2,17,23.19625
570,4,2,18,22.64625
571,4,2,19,22.48125
572,4,2,20,22.86625
573,4,2,21,23.93875
574,4,2,22,23.045
575,4,2,23,21.10625
576,4,3,0,18.59
577,4,3,1,16.76125
578,4,3,2,15.7575
579,4,3,3,15.565
580,4,3,4,14.94625
581,4,3,5,15.27625
582,4,3,6,15.895
583,4,3,7,17.93
584,4,3,8,20.625
585,4,3,9,22.6325
586,4,3,10,23.595
587,4,3,11,24.255
588,4,3,12,24.915
589,4,3,13,24.585
590,4,3,14,23.85625
591,4,3,15,24.04875
592,4,3,16,23.60875
593,4,3,17,23.60875
594,4,3,18,22.88
595,4,3,19,22.605
596,4,3,20,22.253
597,4,3,21,23.0725
598,4,3,22,23.54
599,4,3,23,21.78
600,4,4,0,20.185
601,4,4,1,17.1325
602,4,4,2,16.225
603,4,4,3,15.33125
604,4,4,4,15.22125
605,4,4,5,15.125
606,4,4,6,15.90875
607,4,4,7,17.2975
608,4,4,8,19.89625
609,4,4,9,21.1475
610,4,4,10,22.66
611,4,4,11,23.27875
612,4,4,12,24.1175
613,4,4,13,24.0625
614,4,4,14,23.69125
615,4,4,15,23.58125
616,4,4,16,22.1925
617,4,4,17,22.4125
618,4,4,18,21.725
619,4,4,19,21.725
620,4,4,20,21.725
621,4,4,21,22.11
622,4,4,22,22.4125
623,4,4,23,20.13
624,4,5,0,17.9025
625,4,5,1,16.6375
626,4,5,2,14.74
627,4,5,3,13.86
628,4,5,4,13.9975
629,4,5,5,14.135
630,4,5,6,13.84625
631,4,5,7,14.52
632,4,5,8,15.93625
633,4,5,9,18.1225
634,4,5,10,19.25
635,4,5,11,19.965
636,4,5,12,20.79
637,4,5,13,21.23
638,4,5,14,21.065
639,4,5,15,20.8175
640,4,5,16,20.625
641,4,5,17,19.6625
642,4,5,18,18.9475
643,4,5,19,19.1125
644,4,5,20,19.3325
645,4,5,21,20.2675
646,4,5,22,20.185
647,4,5,23,18.8925
648,4,6,0,17.2425
649,4,6,1,15.455
650,4,6,2,14.2725
651,4,6,3,13.75
652,4,6,4,13.1725
653,4,6,5,12.98
654,4,6,6,12.96625
655,4,6,7,13.475
656,4,6,8,14.08
657,4,6,9,14.8225
658,4,6,10,16.61
659,4,6,11,17.985
660,4,6,12,18.98875
661,4,6,13,19.8275
662,4,6,14,20.11625
663,4,6,15,19.91
664,4,6,16,18.8925
665,4,6,17,18.865
666,4,6,18,18.92
667,4,6,19,18.9475
668,4,6,20,19.8
669,4,6,21,21.67
670,4,6,22,21.56
671,4,6,23,20.1025
672,5,0,0,17.2425
673,5,0,1,16.17
674,5,0,2,15.235
675,5,0,3,14.41
676,5,0,4,14.465
677,5,0,5,14.465
678,5,0,6,15.08375
679,5,0,7,17.38
680,5,0,8,18.54875
681,5,0,9,20.06125
682,5,0,10,21.3125
683,5,0,11,22.9075
684,5,0,12,23.49875
685,5,0,13,23.045
686,5,0,14,23.27875
687,5,0,15,23.1275
688,5,0,16,22.7975
689,5,0,17,22.23375
690,5,0,18,22.0
691,5,0,19,21.56
692,5,0,20,21.45
693,5,0,21,22.385
694,5,0,22,23.58125
695,5,0,23,21.9725
696,5,1,0,18.975
697,5,1,1,17.435
698,5,1,2,15.84
699,5,1,3,15.6475
700,5,1,4,14.5475
701,5,1,5,14.63
702,5,1,6,15.16625
703,5,1,7,17.0775
704,5,1,8,19.6075
705,5,1,9,21.29875
706,5,1,10,22.12375
707,5,1,11,23.16875
708,5,1,12,23.58125
709,5,1,13,23.47125
710,5,1,14,23.155
711,5,1,15,23.65
712,5,1,16,23.3475
713,5,1,17,22.53625
714,5,1,18,22.55
715,5,1,19,21.57375
716,5,1,20,22.7425
717,5,1,21,24.2
718,5,1,22,23.265
719,5,1,23,21.45
720,5,2,0,19.1125
721,5,2,1,16.9125
722,5,2,2,15.895
723,5,2,3,15.345
724,5,2,4,14.96
725,5,2,5,14.9875
726,5,2,6,16.48625
727,5,2,7,17.7925
728,5,2,8,18.9475
729,5,2,9,21.43625
730,5,2,10,23.1275
731,5,2,11,24.76375
732,5,2,12,24.695
733,5,2,13,25.23125
734,5,2,14,25.06625
735,5,2,15,25.25875
736,5,2,16,24.09
737,5,2,17,23.6225
738,5,2,18,22.5225
739,5,2,19,21.945
740,5,2,20,21.945
741,5,2,21,23.6775
742,5,2,22,23.265
743,5,2,23,21.56
744,5,3,0,18.48
745,5,3,1,16.61
746,5,3,2,15.895
747,5,3,3,15.4
748,5,3,4,15.5375
749,5,3,5,15.455
750,5,3,6,15.95
751,5,3,7,17.22875
752,5,3,8,20.25375
753,5,3,9,21.5325
754,5,3,10,22.12375
755,5,3,11,22.64625
756,5,3,12,23.21
757,5,3,13,23.6775
758,5,3,14,23.55375
759,5,3,15,23.4025
760,5,3,16,22.88
761,5,3,17,23.045
762,5,3,18,22.5225
763,5,3,19,22.11
764,5,3,20,22.66
765,5,3,21,23.1
766,5,3,22,23.155
767,5,3,23,21.45
768,5,4,0,19.4975
769,5,4,1,17.49
770,5,4,2,16.5825
771,5,4,3,15.895
772,5,4,4,15.4
773,5,4,5,14.795
774,5,4,6,15.95
775,5,4,7,17.215
776,5,4,8,19.53875
777,5,4,9,21.505
778,5,4,10,23.1825
779,5,4,11,24.6675
780,5,4,12,25.355
781,5,4,13,25.025
782,5,4,14,23.76
783,5,4,15,22.99
784,5,4,16,22.48125
785,5,4,17,22.385
786,5,4,18,22.495
787,5,4,19,20.47375
788,5,4,20,21.46375
789,5,4,21,22.9075
790,5,4,22,22.88
791,5,4,23,21.90375
792,5,5,0,19.2775
793,5,5,1,17.20125
794,5,5,2,16.4725
795,5,5,3,15.8125
796,5,5,4,15.51
797,5,5,5,15.125
798,5,5,6,14.3275
799,5,5,7,14.52
800,5,5,8,16.29375
801,5,5,9,18.315
802,5,5,10,20.35
803,5,5,11,21.60125
804,5,5,12,21.9175
805,5,5,13,22.0
806,5,5,14,21.87625
