horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
167,1,6,23,0.0,0.0
168,2,0,0,0.0,0.0
169,2,0,1,0.0,0.0
170,2,0,2,0.0,0.0
171,2,0,3,0.0,0.0
172,2,0,4,0.0,0.0
173,2,0,5,0.0,0.0
174,2,0,6,0.0,0.0
175,2,0,7,0.0,0.0
176,2,0,8,0.0,0.0
177,2,0,9,0.0,0.0
178,2,0,10,0.0,0.0
179,2,0,11,0.0,0.0
180,2,0,12,0.0,0.0
181,2,0,13,0.0,0.0
182,2,0,14,0.113196,0.0
183,2,0,15,0.159132,0.0
184,2,0,16,0.51376,0.0
185,2,0,17,0.886496,0.0
186,2,0,18,0.697944,0.0
187,2,0,19,0.94545,0.0
188,2,0,20,0.737984,0.0
189,2,0,21,0.297336,0.0
190,2,0,22,0.329016,0.0
191,2,0,23,0.691392,0.0
192,2,1,0,0.596752,0.0
193,2,1,1,0.0,0.0
194,2,1,2,0.19596,0.0
195,2,1,3,0.223284,0.0
196,2,1,4,0.264864,0.0
197,2,1,5,0.268428,0.0
198,2,1,6,0.167052,0.0
199,2,1,7,0.288624,0.0
200,2,1,8,0.198336,0.0
201,2,1,9,0.0,0.0
202,2,1,10,0.149232,0.0
203,2,1,11,0.114384,0.0
204,2,1,12,0.358716,0.098544
205,2,1,13,0.357132,0.0
206,2,1,14,0.368616,0.0
207,2,1,15,0.348024,0.116364
208,2,1,16,0.8268,0.12666
209,2,1,17,1.1922,0.0
210,2,1,18,1.14075,0.0
211,2,1,19,1.01265,0.0
212,2,1,20,0.861016,0.0
213,2,1,21,0.465712,0.0
214,2,1,22,0.300108,0.0
215,2,1,23,0.228432,0.0
216,2,2,0,0.0,0.0
217,2,2,1,0.09696,0.0
218,2,2,2,0.176952,0.0
219,2,2,3,0.166656,0.0
220,2,2,4,0.26724,0.0
221,2,2,5,0.0,0.0
222,2,2,6,0.0,0.0
223,2,2,7,0.0,0.0
224,2,2,8,0.0,0.0
225,2,2,9,0.0,0.0
226,2,2,10,0.0,0.0
227,2,2,11,0.0,0.0
228,2,2,12,0.0,0.0
229,2,2,13,0.0,0.0
230,2,2,14,0.0,0.0
231,2,2,15,0.0,0.0
232,2,2,16,0.360696,0.101316
233,2,2,17,0.432952,0.0
234,2,2,18,0.361884,0.0
235,2,2,19,0.0,0.0
236,2,2,20,0.0,0.0
237,2,2,21,0.0,0.0
238,2,2,22,0.0,0.0
239,2,2,23,0.0,0.0
240,2,3,0,0.0,0.0
241,2,3,1,0.0,0.0
242,2,3,2,0.0,0.0
243,2,3,3,0.0,0.0
244,2,3,4,0.0,0.0
245,2,3,5,0.0,0.0
246,2,3,6,0.0,0.0
247,2,3,7,0.111612,0.0
248,2,3,8,0.0,0.0
249,2,3,9,0.132996,0.0
250,2,3,10,0.396552,0.0
251,2,3,11,0.613496,0.0
252,2,3,12,0.700856,0.0
253,2,3,13,0.49556,0.0
254,2,3,14,0.388812,0.0
255,2,3,15,0.22368,0.0
256,2,3,16,0.0,0.0
257,2,3,17,0.0,0.0
258,2,3,18,0.172992,0.0
259,2,3,19,0.224868,0.0
260,2,3,20,0.0,0.0
261,2,3,21,0.215364,0.0
262,2,3,22,0.262884,0.0
263,2,3,23,0.0,0.0
264,2,4,0,0.0,0.0
265,2,4,1,0.0,0.0
266,2,4,2,0.0,0.0
267,2,4,3,0.0,0.0
268,2,4,4,0.0,0.0
269,2,4,5,0.0,0.0
270,2,4,6,0.0,0.0
271,2,4,7,0.0,0.0
272,2,4,8,0.0,0.0
273,2,4,9,0.0,0.0
274,2,4,10,0.0,0.0
275,2,4,11,0.0,0.0
276,2,4,12,0.0,0.0
277,2,4,13,0.0,0.0
278,2,4,14,0.0,0.0
279,2,4,15,0.0,0.0
280,2,4,16,0.0,0.0
281,2,4,17,0.0,0.0
282,2,4,18,0.0,0.0
283,2,4,19,0.0,0.0
284,2,4,20,0.211404,0.0
285,2,4,21,0.133392,0.0
286,2,4,22,0.0,0.0
287,2,4,23,0.0,0.0
288,2,5,0,0.0,0.0
289,2,5,1,0.2217,0.0
290,2,5,2,0.0,0.0
291,2,5,3,0.0,0.0
292,2,5,4,0.0,0.0
293,2,5,5,0.0,0.0
294,2,5,6,0.0,0.0
295,2,5,7,0.0,0.0
296,2,5,8,0.0,0.0
297,2,5,9,0.0,0.0
298,2,5,10,0.0,0.0
299,2,5,11,0.278328,0.0
300,2,5,12,0.309612,0.0
301,2,5,13,0.264864,0.0
302,2,5,14,0.176556,0.0
303,2,5,15,0.0,0.0
304,2,5,16,0.0,0.0
305,2,5,17,0.0,0.0
306,2,5,18,0.0,0.0
307,2,5,19,0.0,0.0
308,2,5,20,0.0,0.0
309,2,5,21,0.0,0.0
310,2,5,22,0.0,0.0
311,2,5,23,0.0,0.0
312,2,6,0,0.0,0.0
313,2,6,1,0.0,0.0
314,2,6,2,0.0,0.0
315,2,6,3,0.0,0.0
316,2,6,4,0.22566,0.0
317,2,6,5,0.0,0.0
318,2,6,6,0.0,0.0
319,2,6,7,0.0,0.0
320,2,6,8,0.0,0.0
321,2,6,9,0.0,0.0
322,2,6,10,0.0,0.0
323,2,6,11,0.0,0.0
324,2,6,12,0.0,0.0
325,2,6,13,0.0,0.0
326,2,6,14,0.0,0.0
327,2,6,15,0.2811,0.0
328,2,6,16,0.408928,0.0
329,2,6,17,0.682656,0.0
330,2,6,18,0.660088,0.0
331,2,6,19,0.601848,0.0
332,2,6,20,0.649168,0.0
333,2,6,21,0.22962,0.0
334,2,6,22,0.109632,0.0
335,2,6,23,0.0,0.0
336,3,0,0,0.0,0.0
337,3,0,1,0.0,0.0
338,3,0,2,0.0,0.0
339,3,0,3,0.0,0.0
340,3,0,4,0.245856,0.0
341,3,0,5,0.3405,0.0
342,3,0,6,0.291396,0.0
343,3,0,7,0.497016,0.0
344,3,0,8,0.72488,0.0
345,3,0,9,0.651352,0.0
346,3,0,10,0.895232,0.131412
347,3,0,11,0.9612,0.206256
348,3,0,12,1.02525,0.2613
349,3,0,13,0.877032,0.189228
350,3,0,14,0.751088,0.202296
351,3,0,15,0.755456,0.19002
352,3,0,16,1.0557,0.190416
353,3,0,17,1.0305,0.104484
354,3,0,18,1.05885,0.0
355,3,0,19,0.904696,0.0
356,3,0,20,1.1208,0.0
357,3,0,21,0.9178,0.0
358,3,0,22,0.861016,0.0
359,3,0,23,0.729248,0.0
360,3,1,0,0.385248,0.0
361,3,1,1,0.0,0.0
362,3,1,2,0.180516,0.0
363,3,1,3,0.226848,0.0
364,3,1,4,0.36228,0.0
365,3,1,5,0.173784,0.0
366,3,1,6,0.0,0.0
367,3,1,7,0.0,0.0
368,3,1,8,0.0,0.0
369,3,1,9,0.0,0.0
370,3,1,10,0.0,0.0
371,3,1,11,0.0,0.0
372,3,1,12,0.0,0.0
373,3,1,13,0.0,0.0
374,3,1,14,0.0,0.0
375,3,1,15,0.0,0.0
376,3,1,16,0.287436,0.0
377,3,1,17,0.296544,0.0
378,3,1,18,0.39728,0.0
379,3,1,19,0.247044,0.0
380,3,1,20,0.103692,0.0
381,3,1,21,0.0,0.0
382,3,1,22,0.0,0.0
383,3,1,23,0.0,0.0
384,3,2,0,0.0,0.0
385,3,2,1,0.0,0.0
386,3,2,2,0.0,0.0
387,3,2,3,0.0,0.0
388,3,2,4,0.0,0.0
389,3,2,5,0.0,0.0
390,3,2,6,0.0,0.0
391,3,2,7,0.0,0.0
392,3,2,8,0.0,0.0
393,3,2,9,0.0,0.0
394,3,2,10,0.0,0.0
395,3,2,11,0.0,0.0
396,3,2,12,0.0,0.0
397,3,2,13,0.0,0.0
398,3,2,14,0.0,0.0
399,3,2,15,0.0,0.0
400,3,2,16,0.0,0.0
401,3,2,17,0.0,0.0
402,3,2,18,0.0,0.0
403,3,2,19,0.0,0.0
404,3,2,20,0.0,0.0
405,3,2,21,0.0,0.0
406,3,2,22,0.0,0.0
407,3,2,23,0.0,0.0
408,3,3,0,0.0,0.0
409,3,3,1,0.0,0.0
410,3,3,2,0.0,0.0
411,3,3,3,0.0,0.0
412,3,3,4,0.0,0.0
413,3,3,5,0.112404,0.0
414,3,3,6,0.0,0.0
415,3,3,7,0.0,0.0
416,3,3,8,0.0,0.0
417,3,3,9,0.0,0.0
418,3,3,10,0.0,0.0
419,3,3,11,0.0,0.0
420,3,3,12,0.0,0.0
421,3,3,13,0.0,0.0
422,3,3,14,0.0,0.0
423,3,3,15,0.113988,0.0
424,3,3,16,0.260904,0.0
425,3,3,17,0.243084,0.0
426,3,3,18,0.0,0.0
427,3,3,19,0.0,0.0
428,3,3,20,0.0,0.0
429,3,3,21,0.131016,0.0
430,3,3,22,0.121908,0.0
431,3,3,23,0.0,0.0
432,3,4,0,0.0,0.0
433,3,4,1,0.101712,0.0
434,3,4,2,0.0,0.0
435,3,4,3,0.0,0.0
436,3,4,4,0.203088,0.0
437,3,4,5,0.249816,0.0
438,3,4,6,0.285852,0.0
439,3,4,7,0.37812,0.0
440,3,4,8,0.461344,0.0
441,3,4,9,0.547976,0.0
442,3,4,10,0.36426,0.0
443,3,4,11,0.24942,0.0
444,3,4,12,0.322284,0.0
445,3,4,13,0.347628,0.0
446,3,4,14,0.258528,0.0
447,3,4,15,0.194376,0.0
448,3,4,16,0.23358,0.0
449,3,4,17,0.0,0.0
450,3,4,18,0.0,0.0
451,3,4,19,0.0,0.0
452,3,4,20,0.0,0.0
453,3,4,21,0.2118,0.0
454,3,4,22,0.155172,0.0
455,3,4,23,0.0,0.0
456,3,5,0,0.0,0.0
457,3,5,1,0.0,0.0
458,3,5,2,0.0,0.0
459,3,5,3,0.0,0.0
460,3,5,4,0.0,0.0
461,3,5,5,0.0,0.0
462,3,5,6,0.0,0.0
463,3,5,7,0.0,0.0
464,3,5,8,0.0,0.0
465,3,5,9,0.14052,0.0
466,3,5,10,0.0,0.0
467,3,5,11,0.153984,0.0
468,3,5,12,0.094584,0.0
469,3,5,13,0.0,0.0
470,3,5,14,0.0,0.0
471,3,5,15,0.0,0.0
472,3,5,16,0.0,0.0
473,3,5,17,0.0,0.0
474,3,5,18,0.0,0.0
475,3,5,19,0.0,0.0
476,3,5,20,0.242688,0.0
477,3,5,21,0.281496,0.0
478,3,5,22,0.153588,0.0
479,3,5,23,0.0,0.0
480,3,6,0,0.0,0.0
481,3,6,1,0.0,0.0
482,3,6,2,0.0,0.0
483,3,6,3,0.0,0.0
484,3,6,4,0.230412,0.0
485,3,6,5,0.28506,0.0
486,3,6,6,0.1227,0.0
487,3,6,7,0.142104,0.0
488,3,6,8,0.101712,0.0
489,3,6,9,0.0,0.0
490,3,6,10,0.168636,0.0
491,3,6,11,0.0,0.0
492,3,6,12,0.171012,0.0
493,3,6,13,0.0,0.0
494,3,6,14,0.0,0.0
495,3,6,15,0.0,0.0
496,3,6,16,0.0,0.0
497,3,6,17,0.0,0.0
498,3,6,18,0.0,0.0
499,3,6,19,0.0,0.0
500,3,6,20,0.0,0.0
501,3,6,21,0.0,0.0
502,3,6,22,0.0,0.0
503,3,6,23,0.0,0.0
504,4,0,0,0.101316,0.0
505,4,0,1,0.0,0.0
506,4,0,2,0.0,0.0
507,4,0,3,0.0,0.0
508,4,0,4,0.0,0.0
509,4,0,5,0.0,0.0
510,4,0,6,0.0,0.0
511,4,0,7,0.0,0.0
512,4,0,8,0.0,0.0
513,4,0,9,0.0,0.0
514,4,0,10,0.0,0.0
515,4,0,11,0.0,0.0
516,4,0,12,0.0,0.0
517,4,0,13,0.0,0.0
518,4,0,14,0.0,0.0
519,4,0,15,0.0,0.0
520,4,0,16,0.0,0.0
521,4,0,17,0.0,0.0
522,4,0,18,0.0,0.0
523,4,0,19,0.0,0.0
524,4,0,20,0.0,0.0
525,4,0,21,0.0,0.0
526,4,0,22,0.0,0.0
527,4,0,23,0.0,0.0
528,4,1,0,0.0,0.0
529,4,1,1,0.0,0.0
530,4,1,2,0.0,0.0
531,4,1,3,0.0,0.0
532,4,1,4,0.0,0.0
533,4,1,5,0.0,0.0
534,4,1,6,0.0,0.0
535,4,1,7,0.0,0.0
536,4,1,8,0.0,0.0
537,4,1,9,0.0,0.0
538,4,1,10,0.0,0.0
539,4,1,11,0.0,0.0
540,4,1,12,0.0,0.0
541,4,1,13,0.0,0.0
542,4,1,14,0.0,0.0
543,4,1,15,0.145668,0.0
544,4,1,16,0.285456,0.0
545,4,1,17,0.349608,0.0
546,4,1,18,0.0,0.0
547,4,1,19,0.0,0.0
548,4,1,20,0.0,0.0
549,4,1,21,0.0,0.0
550,4,1,22,0.0,0.0
551,4,1,23,0.0,0.0
552,4,2,0,0.0,0.0
553,4,2,1,0.0,0.0
554,4,2,2,0.0,0.0
555,4,2,3,0.0,0.0
556,4,2,4,0.0,0.0
557,4,2,5,0.0,0.0
558,4,2,6,0.0,0.0
559,4,2,7,0.0,0.0
560,4,2,8,0.0,0.0
561,4,2,9,0.0,0.0
562,4,2,10,0.0,0.0
563,4,2,11,0.0,0.0
564,4,2,12,0.0,0.0
565,4,2,13,0.0,0.0
566,4,2,14,0.0,0.0
567,4,2,15,0.0,0.0
568,4,2,16,0.0,0.0
569,4,2,17,0.0,0.0
570,4,2,18,0.0,0.0
571,4,2,19,0.0,0.0
572,4,2,20,0.2316,0.0
573,4,2,21,0.78312,0.0
574,4,2,22,0.526136,0.0
575,4,2,23,0.19398,0.0
576,4,3,0,0.192792,0.0
577,4,3,1,0.131808,0.0
578,4,3,2,0.0,0.0
579,4,3,3,0.0,0.0
580,4,3,4,0.0,0.0
581,4,3,5,0.0,0.0
582,4,3,6,0.0,0.0
583,4,3,7,0.0,0.0
584,4,3,8,0.0,0.0
585,4,3,9,0.0,0.0
586,4,3,10,0.0,0.0
587,4,3,11,0.0,0.0
588,4,3,12,0.0,0.0
589,4,3,13,0.0,0.0
590,4,3,14,0.0,0.0
591,4,3,15,0.0,0.0
592,4,3,16,0.14052,0.0
593,4,3,17,0.232788,0.0
594,4,3,18,0.431496,0.0
595,4,3,19,0.748176,0.0
596,4,3,20,0.919256,0.0
597,4,3,21,1.11135,0.0
598,4,3,22,1.01895,0.0
599,4,3,23,1.06095,0.0
600,4,4,0,1.03575,0.0
601,4,4,1,0.14844,0.0
602,4,4,2,0.25536,0.0
603,4,4,3,0.248232,0.0
604,4,4,4,0.0,0.0
605,4,4,5,0.0,0.0
606,4,4,6,0.0,0.0
607,4,4,7,0.0,0.0
608,4,4,8,0.0,0.0
609,4,4,9,0.0,0.0
610,4,4,10,0.157944,0.0
