name,lb,ub,n_iterations,first_stage_cost,n_maint_starts,ens_wc_mwh,ens_wc_hours,hourly_box_dir,wind_mean_box,aro_variant,maint_starts
prueba_s12_t0spread,4237913.372959996,,5,155400.0,13,2912.444717470847,309,data,timesfm_s12,t0spread,"[{'j': 0, 'w': 0, 't': 12, 'value': 1.0}, {'j': 1, 'w': 0, 't': 15, 'value': 1.0}, {'j': 2, 'w': 0, 't': 27, 'value': 1.0}, {'j': 3, 'w': 0, 't': 36, 'value': 1.0}, {'j': 4, 'w': 0, 't': 46, 'value': 1.0}, {'j': 5, 'w': 0, 't': 49, 'value': 1.0}, {'j': 6, 'w': 0, 't': 54, 'value': 1.0}, {'j': 7, 'w': 0, 't': 64, 'value': 1.0}, {'j': 0, 'w': 1, 't': 2, 'value': 1.0}, {'j': 1, 'w': 1, 't': 22, 'value': 1.0}, {'j': 2, 'w': 1, 't': 39, 'value': 1.0}, {'j': 3, 'w': 1, 't': 61, 'value': 1.0}, {'j': 4, 'w': 1, 't': 68, 'value': 1.0}]"
prueba_s12_t0spread_box8013,4246716.3992196685,,5,155500.0,13,2947.4238238201797,309,data\historical_box_1980_2013,timesfm_s12,t0spread,"[{'j': 0, 'w': 0, 't': 11, 'value': 1.0}, {'j': 1, 'w': 0, 't': 20, 'value': 1.0}, {'j': 2, 'w': 0, 't': 27, 'value': 1.0}, {'j': 3, 'w': 0, 't': 35, 'value': 1.0}, {'j': 4, 'w': 0, 't': 40, 'value': 1.0}, {'j': 5, 'w': 0, 't': 50, 'value': 1.0}, {'j': 6, 'w': 0, 't': 60, 'value': 1.0}, {'j': 7, 'w': 0, 't': 66, 'value': 1.0}, {'j': 0, 'w': 1, 't': 1, 'value': 1.0}, {'j': 1, 'w': 1, 't': 7, 'value': 1.0}, {'j': 2, 'w': 1, 't': 46, 'value': 1.0}, {'j': 3, 'w': 1, 't': 54, 'value': 1.0}, {'j': 4, 'w': 1, 't': 78, 'value': 1.0}]"
