day,wind_ab_mw,wind_ka_mw
1,3.5,2.3623855833
2,3.5,1.9263623333
3,3.5,1.7287033333
4,3.5,1.7040749167
5,3.5,1.60212475
6,3.5,1.96210175
7,3.5,1.8668471667
8,3.5,1.8163570833
9,3.5,2.1650751667
10,3.5,1.7823066667
11,3.5,1.778658
12,3.5,2.0896240833
13,3.5,1.4825658333
14,3.5,2.338198
15,3.5,2.1346540833
16,3.5,2.0311236667
17,3.5,1.8798146667
18,3.5,1.6380298333
19,3.5,2.0365920833
20,3.5,1.6942479167
21,3.5,1.9314565833
22,3.5,1.6935970833
23,3.5,1.8968369167
24,3.5,1.7186374167
25,3.5,1.7860335
26,3.5,1.8155771667
27,3.5,1.7293086667
28,3.5,2.0463480833
29,3.5,1.7059101667
30,3.5,1.7669018333
31,3.5,1.6518779167
32,3.5,2.01011825
33,3.5,1.8340478333
34,3.5,1.5823139167
35,3.5,1.6482370833
36,3.5,1.9892965
37,3.5,2.3450601667
38,3.5,1.9166848333
39,3.5,1.6718848333
40,3.5,1.95949525
41,3.5,1.9402543333
42,3.5,1.49725025
43,3.5,1.6186859167
44,3.5,1.4252801667
45,3.5,1.1963808333
46,3.5,1.4598301667
47,3.5,1.9018044167
48,3.5,1.4043201667
49,3.5,1.3723399167
50,3.5,1.4200678333
51,3.5,1.58338125
52,3.5,1.619518
53,3.5,1.8528694167
54,3.5,1.7599253333
55,3.5,2.4226399167
56,3.5,1.4014641667
57,3.5,1.4493801667
58,3.5,1.56733175
59,3.5,1.5619758333
60,3.5,1.6705890833
61,3.5,2.1522673333
62,3.5,1.9072963333
63,3.5,1.7657958333
64,3.5,1.58138025
65,3.5,1.4984001667
66,3.5,1.9247234167
67,3.5,2.0965145833
68,3.5,2.0382748333
69,3.5,1.75572575
70,3.5,1.36477175
71,3.5,2.2108768333
72,3.5,1.74808
73,3.5,1.7378983333
74,3.5,1.7816701667
75,3.5,2.1609775
76,3.5,2.2433156667
77,3.5,1.9170294167
78,3.5,1.7326821667
79,3.5,1.3162435
80,3.5,1.4088269167
81,3.5,1.2017838333
82,3.5,1.664349
83,3.5,1.8407353333
84,3.5,1.4085901667
85,3.5,1.3251100833
86,3.5,1.547354
87,3.5,1.874739
88,3.5,1.9204615833
89,3.5,1.3192535
90,3.5,1.4576419167
91,3.5,1.8360886667
92,3.5,2.3780589167
93,3.5,1.747316
94,3.5,1.9849503333
95,3.5,1.7381605
96,3.5,1.7124514167
97,3.5,1.8999076667
98,3.5,1.75477225
99,3.5,1.198832
100,3.5,1.3414389167
101,3.5,1.5067646667
102,3.5,1.5442440833
103,3.5,1.578424
104,3.5,1.61372225
105,3.5,2.0195359167
106,3.5,1.8508701667
107,3.5,1.3433596667
108,3.5,1.5468951667
109,3.5,1.9256280833
110,3.5,1.5789563333
111,3.5,1.4645478333
112,3.5,2.18012325
113,3.5,1.61310525
114,3.5,1.3838143333
115,3.5,1.8677535
116,3.5,1.7468085833
117,3.5,1.8087345833
118,3.5,1.5720768333
119,3.5,1.6817749167
120,3.5,2.1085849167
121,3.5,2.1228301667
122,3.5,2.1292478333
123,3.5,1.9537155
124,3.5,1.60643975
125,3.5,1.68238075
126,3.5,2.3844094167
127,3.5,2.1225073333
128,3.5,1.98650775
129,3.5,1.70396075
130,3.5,2.20277275
131,3.5,1.0792441667
132,3.5,1.257595
133,3.5,1.2543686667
134,3.5,1.6743169167
135,3.5,1.5529180833
136,3.5,1.6713559167
137,3.5,2.0388418333
138,3.5,1.5390051667
139,3.5,1.7466596667
140,3.5,1.5552835
141,3.5,1.78366175
142,3.5,1.4029815
143,3.5,1.1679844167
144,3.5,1.1294304167
145,3.5,1.3202265833
146,3.5,1.515901
147,3.5,1.3589263333
148,3.5,1.7403028333
149,3.5,1.2312244167
150,3.5,1.46758325
151,3.5,1.2737988333
152,3.5,1.7201566667
153,3.5,2.4399490833
154,3.5,1.98916175
155,3.5,2.3520685
156,3.5,2.0152790833
157,3.5,1.6832930833
158,3.5,2.1335666667
159,3.5,2.6321523333
160,3.5,1.89711175
161,3.5,1.9224544167
162,3.5,2.9072419167
163,3.5,2.27963825
164,3.5,1.4735976667
165,3.5,2.2761198333
166,3.5,1.58194825
167,3.5,2.2351626667
168,3.5,2.6472103333
169,3.5,2.0916035
170,3.5,1.7971235
171,3.5,1.8795664167
172,3.5,2.0452699167
173,3.5,1.6758271667
174,3.5,2.380251
175,3.5,2.6807400833
176,3.5,2.9251964167
177,3.5,2.37488125
178,3.5,1.783451
179,3.5,1.7502381667
180,3.5,1.7296775
181,3.5,1.4095191667
182,3.5,1.8092156667
183,3.5,2.012491
184,3.5,1.6385845833
185,3.5,2.01918325
186,3.5,1.9635763333
187,3.5,2.06442475
188,3.5,2.0110788333
189,3.5,1.74414975
190,3.5,1.8493804167
191,3.5,2.1398899167
192,3.5,1.384578
193,3.5,2.1899756667
194,3.5,2.8332743333
195,3.5,2.2663493333
196,3.5,1.9301199167
197,3.5,1.50495375
198,3.5,1.5471905
199,3.5,2.60961725
200,3.5,1.8392841667
201,3.5,2.1137995
202,3.5,2.2865766667
203,3.5,2.326981
204,3.5,1.60621
205,3.5,2.8791076667
206,3.5,2.40795025
207,3.5,2.7090825833
208,3.5,2.2904125
209,3.5,1.9599881667
210,3.5,1.6011224167
211,3.5,1.4730564167
212,3.5,2.3148071667
213,3.5,1.6304423333
214,3.5,2.092989
215,3.5,2.163368
216,3.5,2.1237436667
217,3.5,2.8851799167
218,3.5,2.18036725
219,3.5,2.2782125833
220,3.5,3.1553149167
221,3.5,2.76544225
222,3.5,2.7352630833
223,3.5,2.5575228333
224,3.5,3.28860625
225,3.5,3.1618109167
226,3.5,2.75806525
227,3.5,2.0436596667
228,3.5,2.398589
229,3.5,2.6707658333
230,3.5,2.3089760833
231,3.5,3.3941469167
232,3.5,2.9491815
233,3.5,2.83121975
234,3.5,1.8223804167
235,3.5,2.0353119167
236,3.5,1.9663304167
237,3.5,2.219175
238,3.5,2.52552525
239,3.5,2.4437538333
