horizon_hour,week,weekday,hour,wind_ab_mw,wind_ka_mw
162,1,6,18,3.5,1.957438
163,1,6,19,3.5,1.33185
164,1,6,20,3.5,1.16805
165,1,6,21,3.5,0.923624
166,1,6,22,3.5,0.8086
167,1,6,23,3.5,0.854464
168,2,0,0,3.5,0.894504
169,2,0,1,3.5,0.9633
170,2,0,2,3.5,1.0221
171,2,0,3,3.5,0.871208
172,2,0,4,3.5,1.04205
173,2,0,5,3.5,1.06305
174,2,0,6,3.5,1.08405
175,2,0,7,3.5,1.31085
176,2,0,8,3.5,1.940106
177,2,0,9,3.5,2.128282
178,2,0,10,3.5,2.46997
179,2,0,11,3.5,2.658146
180,2,0,12,3.5,2.665574
181,2,0,13,3.5,3.061734
182,2,0,14,3.5,2.842608
183,2,0,15,3.5,2.845084
184,2,0,16,3.5,2.967646
185,2,0,17,3.5,2.294174
186,2,0,18,3.5,1.936392
187,2,0,19,3.5,1.484522
188,2,0,20,3.5,1.636796
189,2,0,21,3.5,1.461
190,2,0,22,3.5,1.489474
191,2,0,23,3.5,1.45995
192,2,1,0,3.5,1.469666
193,2,1,1,3.5,1.4085
194,2,1,2,3.5,1.38435
195,2,1,3,3.5,1.598418
196,2,1,4,3.5,1.651652
197,2,1,5,3.5,1.574896
198,2,1,6,3.5,1.44315
199,2,1,7,3.5,1.774214
200,2,1,8,3.5,2.226084
201,2,1,9,3.5,2.660622
202,2,1,10,3.5,3.043164
203,2,1,11,3.5,3.414564
204,2,1,12,3.5,3.184296
205,2,1,13,3.5,3.381138
206,2,1,14,3.5,3.387328
207,2,1,15,3.5,3.090208
208,2,1,16,3.5,3.043164
209,2,1,17,3.5,2.481112
210,2,1,18,3.5,2.20999
211,2,1,19,3.5,1.753168
212,2,1,20,3.5,1.582324
213,2,1,21,3.5,1.31505
214,2,1,22,3.5,1.37175
215,2,1,23,3.5,1.512996
216,2,2,0,3.5,1.44735
217,2,2,1,3.5,1.27095
218,2,2,2,3.5,1.00845
219,2,2,3,3.5,0.94545
220,2,2,4,3.5,0.835536
221,2,2,5,3.5,0.878488
222,2,2,6,3.5,0.9654
223,2,2,7,3.5,1.4295
224,2,2,8,3.5,1.749454
225,2,2,9,3.5,2.312744
226,2,2,10,3.5,2.77328
227,2,2,11,3.5,2.920602
228,2,2,12,3.5,2.967646
229,2,2,13,3.5,3.190486
230,2,2,14,3.5,3.112492
231,2,2,15,3.5,2.999834
232,2,2,16,3.5,2.98993
233,2,2,17,3.5,2.25951
234,2,2,18,3.5,1.769262
235,2,2,19,3.5,1.1565
236,2,2,20,3.5,1.0704
237,2,2,21,3.5,0.916344
238,2,2,22,3.5,0.906152
239,2,2,23,3.5,0.8996
240,2,3,0,3.5,0.794768
241,2,3,1,3.5,0.748176
242,2,3,2,3.5,0.868296
243,2,3,3,3.5,0.514488
244,2,3,4,3.5,0.718328
245,2,3,5,3.5,0.8086
246,2,3,6,3.5,0.9528
247,2,3,7,3.5,1.2384
248,2,3,8,3.5,1.45785
249,2,3,9,3.5,1.990864
250,2,3,10,3.5,2.442734
251,2,3,11,3.5,2.790612
252,2,3,12,3.5,2.887176
253,2,3,13,3.5,3.116206
254,2,3,14,3.5,2.892128
255,2,3,15,3.5,2.994882
256,2,3,16,3.5,2.951552
257,2,3,17,3.5,2.373406
258,2,3,18,3.5,2.167898
259,2,3,19,3.5,1.4463
260,2,3,20,3.5,1.678888
261,2,3,21,3.5,1.724694
262,2,3,22,3.5,1.619464
263,2,3,23,3.5,1.509282
264,2,4,0,3.5,1.4442
265,2,4,1,3.5,1.42635
266,2,4,2,3.5,1.3707
267,2,4,3,3.5,1.562516
268,2,4,4,3.5,1.550136
269,2,4,5,3.5,1.3812
270,2,4,6,3.5,1.3875
271,2,4,7,3.5,1.989626
272,2,4,8,3.5,2.56282
273,2,4,9,3.5,2.80423
274,2,4,10,3.5,3.11373
275,2,4,11,3.5,3.5
276,2,4,12,3.5,3.300668
277,2,4,13,3.5,3.357616
278,2,4,14,3.5,3.36752
279,2,4,15,3.5,3.29943
280,2,4,16,3.5,3.341522
281,2,4,17,3.5,2.654432
282,2,4,18,3.5,2.171612
283,2,4,19,3.5,1.489474
284,2,4,20,3.5,0.925808
285,2,4,21,3.5,0.738712
286,2,4,22,3.5,0.754
287,2,4,23,3.5,0.657176
288,2,5,0,3.5,0.425672
289,2,5,1,3.5,0.485368
290,2,5,2,3.5,0.645528
291,2,5,3,3.5,0.81588
292,2,5,4,3.5,0.930904
293,2,5,5,3.5,0.898144
294,2,5,6,3.5,0.9969
295,2,5,7,3.5,1.19745
296,2,5,8,3.5,1.647938
297,2,5,9,3.5,2.039146
298,2,5,10,3.5,2.306554
299,2,5,11,3.5,2.411784
300,2,5,12,3.5,2.43283
301,2,5,13,3.5,2.601198
302,2,5,14,3.5,2.62472
303,2,5,15,3.5,2.567772
304,2,5,16,3.5,2.388262
305,2,5,17,3.5,1.734598
306,2,5,18,3.5,1.56623
307,2,5,19,3.5,1.2636
308,2,5,20,3.5,0.96645
309,2,5,21,3.5,0.9381
310,2,5,22,3.5,0.785304
311,2,5,23,3.5,0.911248
312,2,6,0,3.5,1.16805
313,2,6,1,3.5,1.4463
314,2,6,2,3.5,1.672698
315,2,6,3,3.5,1.3287
316,2,6,4,3.5,1.860874
317,2,6,5,3.5,1.805164
318,2,6,6,3.5,2.231036
319,2,6,7,3.5,2.367216
320,2,6,8,3.5,3.246196
321,2,6,9,3.5,3.5
322,2,6,10,3.5,3.5
323,2,6,11,3.5,3.5
324,2,6,12,3.5,3.5
325,2,6,13,3.5,3.5
326,2,6,14,3.5,3.5
327,2,6,15,3.5,3.480178
328,2,6,16,3.5,3.202866
329,2,6,17,3.5,2.673002
330,2,6,18,3.5,2.139424
331,2,6,19,3.5,1.672698
332,2,6,20,3.5,1.24365
333,2,6,21,3.5,1.2993
334,2,6,22,3.5,1.2951
335,2,6,23,3.5,0.9843
336,3,0,0,3.5,0.826072
337,3,0,1,3.5,0.788944
338,3,0,2,3.5,0.842088
339,3,0,3,3.5,0.913432
340,3,0,4,3.5,0.9423
341,3,0,5,3.5,1.12605
342,3,0,6,3.5,1.10505
343,3,0,7,3.5,1.3812
344,3,0,8,3.5,1.95001
345,3,0,9,3.5,2.354836
346,3,0,10,3.5,2.993644
347,3,0,11,3.5,3.309334
348,3,0,12,3.5,3.190486
349,3,0,13,3.5,3.11992
350,3,0,14,3.5,3.414564
351,3,0,15,3.5,3.184296
352,3,0,16,3.5,3.061734
353,3,0,17,3.5,2.56282
354,3,0,18,3.5,2.731188
355,3,0,19,3.5,2.410546
356,3,0,20,3.5,2.291698
357,3,0,21,3.5,2.266938
358,3,0,22,3.5,2.462542
359,3,0,23,3.5,2.002006
360,3,1,0,3.5,1.794022
361,3,1,1,3.5,1.489474
362,3,1,2,3.5,1.31295
363,3,1,3,3.5,1.31925
364,3,1,4,3.5,1.2321
365,3,1,5,3.5,1.21845
366,3,1,6,3.5,1.17645
367,3,1,7,3.5,1.508044
368,3,1,8,3.5,2.151804
369,3,1,9,3.5,2.592532
370,3,1,10,3.5,2.858702
371,3,1,11,3.5,3.20039
372,3,1,12,3.5,3.202866
373,3,1,13,3.5,3.446752
374,3,1,14,3.5,3.29943
375,3,1,15,3.5,3.34895
376,3,1,16,3.5,3.21896
377,3,1,17,3.5,2.585104
378,3,1,18,3.5,2.112188
379,3,1,19,3.5,1.41585
380,3,1,20,3.5,1.06095
381,3,1,21,3.5,1.0284
382,3,1,22,3.5,1.0851
383,3,1,23,3.5,1.08825
384,3,2,0,3.5,0.99165
385,3,2,1,3.5,0.98115
386,3,2,2,3.5,0.97065
387,3,2,3,3.5,1.13235
388,3,2,4,3.5,1.3014
389,3,2,5,3.5,1.2048
390,3,2,6,3.5,0.82316
391,3,2,7,3.5,1.2909
392,3,2,8,3.5,2.130758
393,3,2,9,3.5,2.503396
394,3,2,10,3.5,2.836418
395,3,2,11,3.5,3.022118
396,3,2,12,3.5,2.966408
397,3,2,13,3.5,2.986216
398,3,2,14,3.5,2.908222
399,3,2,15,3.5,2.942886
400,3,2,16,3.5,2.908222
401,3,2,17,3.5,2.380834
402,3,2,18,3.5,2.219894
403,3,2,19,3.5,1.631844
404,3,2,20,3.5,1.525376
405,3,2,21,3.5,1.2678
406,3,2,22,3.5,1.125
407,3,2,23,3.5,1.0641
408,3,3,0,3.5,0.93915
409,3,3,1,3.5,0.875576
410,3,3,2,3.5,0.72488
411,3,3,3,3.5,0.775112
412,3,3,4,3.5,0.743808
413,3,3,5,3.5,0.691392
414,3,3,6,3.5,0.791856
415,3,3,7,3.5,1.18065
416,3,3,8,3.5,1.699934
417,3,3,9,3.5,2.275604
418,3,3,10,3.5,2.49473
419,3,3,11,3.5,2.71138
420,3,3,12,3.5,2.684144
421,3,3,13,3.5,2.576438
422,3,3,14,3.5,2.831466
423,3,3,15,3.5,3.0704
424,3,3,16,3.5,2.713856
425,3,3,17,3.5,2.227322
426,3,3,18,3.5,1.891824
427,3,3,19,3.5,1.42635
428,3,3,20,3.5,1.21215
429,3,3,21,3.5,0.93915
430,3,3,22,3.5,0.9738
431,3,3,23,3.5,0.861744
432,3,4,0,3.5,0.851552
433,3,4,1,3.5,0.936
434,3,4,2,3.5,1.0914
435,3,4,3,3.5,1.2594
436,3,4,4,3.5,1.472142
437,3,4,5,3.5,1.33605
438,3,4,6,3.5,1.1565
439,3,4,7,3.5,1.14915
440,3,4,8,3.5,1.786594
441,3,4,9,3.5,2.013148
442,3,4,10,3.5,2.182754
443,3,4,11,3.5,2.468732
444,3,4,12,3.5,2.863654
445,3,4,13,3.5,3.065448
446,3,4,14,3.5,3.29324
447,3,4,15,3.5,3.5
448,3,4,16,3.5,3.5
449,3,4,17,3.5,3.131062
450,3,4,18,3.5,2.648242
451,3,4,19,3.5,1.605846
452,3,4,20,3.5,1.834876
453,3,4,21,3.5,1.90049
454,3,4,22,3.5,2.212466
455,3,4,23,3.5,1.619464
456,3,5,0,3.5,1.3707
457,3,5,1,3.5,1.14915
458,3,5,2,3.5,1.083
459,3,5,3,3.5,0.799136
460,3,5,4,3.5,0.553072
461,3,5,5,3.5,0.537784
462,3,5,6,3.5,0.620048
463,3,5,7,3.5,0.92872
464,3,5,8,3.5,1.4547
465,3,5,9,3.5,1.985912
466,3,5,10,3.5,2.486064
467,3,5,11,3.5,2.796802
468,3,5,12,3.5,2.559106
469,3,5,13,3.5,3.251148
470,3,5,14,3.5,2.583866
471,3,5,15,3.5,2.344932
472,3,5,16,3.5,2.266938
473,3,5,17,3.5,1.952486
474,3,5,18,3.5,1.831162
475,3,5,19,3.5,1.72098
476,3,5,20,3.5,1.667746
477,3,5,21,3.5,1.635558
478,3,5,22,3.5,1.484522
479,3,5,23,3.5,1.598418
480,3,6,0,3.5,1.482046
481,3,6,1,3.5,1.3434
482,3,6,2,3.5,1.47338
483,3,6,3,3.5,1.1796
484,3,6,4,3.5,1.2153
485,3,6,5,3.5,1.0011
486,3,6,6,3.5,1.10505
487,3,6,7,3.5,1.501854
488,3,6,8,3.5,1.95001
489,3,6,9,3.5,2.328838
490,3,6,10,3.5,2.877272
491,3,6,11,3.5,3.159536
492,3,6,12,3.5,3.251148
493,3,6,13,3.5,3.170678
494,3,6,14,3.5,3.254862
495,3,6,15,3.5,2.994882
496,3,6,16,3.5,2.919364
497,3,6,17,3.5,2.208752
498,3,6,18,3.5,1.642986
499,3,6,19,3.5,1.1838
500,3,6,20,3.5,1.3056
501,3,6,21,3.5,1.36335
502,3,6,22,3.5,1.31085
503,3,6,23,3.5,1.1313
504,4,0,0,3.5,0.9738
505,4,0,1,3.5,0.853736
506,4,0,2,3.5,0.791856
507,4,0,3,3.5,0.827528
508,4,0,4,3.5,0.818064
509,4,0,5,3.5,0.749632
510,4,0,6,3.5,0.770744
511,4,0,7,3.5,0.890864
512,4,0,8,3.5,1.874492
513,4,0,9,3.5,2.089904
514,4,0,10,3.5,2.47616
515,4,0,11,3.5,2.560344
516,4,0,12,3.5,2.437782
517,4,0,13,3.5,2.64948
518,4,0,14,3.5,2.535584
519,4,0,15,3.5,2.670526
520,4,0,16,3.5,2.495968
521,4,0,17,3.5,2.031718
522,4,0,18,3.5,1.50433
523,4,0,19,3.5,0.96015
524,4,0,20,3.5,1.50433
525,4,0,21,3.5,1.761834
526,4,0,22,3.5,2.072572
527,4,0,23,3.5,2.344932
528,4,1,0,3.5,2.378358
529,4,1,1,3.5,2.218656
530,4,1,2,3.5,2.127044
531,4,1,3,3.5,1.0809
532,4,1,4,3.5,0.818064
533,4,1,5,3.5,0.689208
534,4,1,6,3.5,0.887952
535,4,1,7,3.5,1.0872
536,4,1,8,3.5,1.43055
537,4,1,9,3.5,1.876968
538,4,1,10,3.5,2.448924
539,4,1,11,3.5,2.462542
540,4,1,12,3.5,2.793088
541,4,1,13,3.5,3.025832
542,4,1,14,3.5,3.487606
543,4,1,15,3.5,3.5
544,4,1,16,3.5,3.5
545,4,1,17,3.5,2.811658
