day,demand
1,14.63484375
2,16.89046875
3,17.108859375
4,16.64109375
5,16.49578125
6,15.2109375
7,14.36296875
8,17.161875
9,17.311734375
10,17.03765625
11,16.3153125
12,16.303125
13,14.95359375
14,14.20171875
15,16.30875
16,16.81453125
17,16.783125
18,16.91203125
19,16.42640625
20,14.81671875
21,13.91390625
22,16.8234375
23,16.9678125
24,16.85484375
25,17.13346875
26,16.68046875
27,14.79
28,14.12765625
29,16.30265625
30,16.74
31,17.135625
32,16.76859375
33,16.90359375
34,15.49359375
35,14.4609375
36,16.44
37,17.09765625
38,17.0728125
39,16.7409375
40,16.70953125
41,15.24234375
42,14.41125
43,17.0240625
44,17.68875
45,17.293875
46,17.4309375
47,16.962703125
48,15.4790625
49,14.4534375
50,17.32265625
51,17.52703125
52,17.19196875
53,17.48709375
54,17.14828125
55,15.83296875
56,14.89125
57,17.14125
58,17.74125
59,17.461875
60,17.51859375
61,17.2059375
62,15.97125
63,16.0275
64,17.93390625
65,18.28125
66,18.72703125
67,18.4884375
68,18.2690625
69,16.68375
70,16.1746875
71,18.5859375
72,19.066875
73,18.95484375
74,19.3040625
75,18.47578125
76,17.2603125
77,16.8478125
78,18.1678125
79,18.89109375
80,18.93
81,18.555
82,18.3665625
83,16.85578125
84,17.54671875
85,18.0159375
86,19.52578125
87,19.3884375
88,19.3734375
89,19.32609375
90,17.63390625
91,17.46
92,18.72375
93,19.42078125
94,19.31578125
95,19.47328125
96,17.4946875
97,17.150625
98,17.6540625
99,19.4625
100,19.9415625
101,19.6078125
102,19.85296875
103,19.2403125
104,16.90828125
105,17.25
106,19.096875
107,19.50140625
108,19.9340625
109,19.9220625
110,18.85359375
111,18.174375
112,18.879375
113,19.2290625
114,20.14828125
115,20.3334375
116,19.95703125
117,18.3478125
118,18.8896875
119,17.79421875
120,17.8809375
121,20.46796875
122,20.84203125
123,20.1
124,19.41234375
125,20.66671875
126,18.826875
127,20.16984375
128,20.4403125
129,20.35734375
130,19.76625
131,19.83234375
132,21.2953125
133,20.08734375
134,20.0784375
135,21.36234375
136,21.39328125
137,20.59875
138,20.476875
139,20.43046875
140,18.93046875
141,20.990625
142,21.76265625
143,22.2515625
144,21.20765625
145,21.7678125
146,21.29578125
147,19.3340625
148,21.26296875
149,21.0665625
150,21.28340625
151,20.83265625
152,21.275625
153,21.21
154,19.929375
155,20.81109375
156,21.20221875
157,21.47625
158,21.134625
159,21.82828125
160,21.42
161,19.92421875
162,21.178125
163,21.72984375
164,21.6
165,20.70421875
166,21.72328125
167,20.58375
168,19.5740625
169,22.2403125
170,22.73859375
171,21.76125
172,21.7575
173,21.44109375
174,22.36921875
175,20.9925
176,20.955
177,23.31375
178,23.07421875
179,22.35
180,22.171875
181,21.85501875
182,21.33
183,22.12453125
184,22.29703125
185,22.5178125
186,21.4546875
187,21.40125
188,21.211875
189,19.906875
190,21.42796875
191,21.6534375
192,21.98109375
193,20.28375
194,21.18815625
195,20.39765625
196,19.58296875
197,22.0809375
198,22.28671875
199,22.400625
200,22.37015625
201,21.9703125
202,20.9709375
203,20.51625
204,21.069375
205,22.55484375
206,22.441875
207,22.2815625
208,21.7040625
209,21.59390625
210,20.345625
211,21.525
212,21.72703125
213,21.9853125
214,21.15796875
215,21.3459375
216,21.65625
217,20.31375
218,21.14203125
219,21.40453125
220,20.7234375
221,20.9829459375
222,20.71734375
223,19.501875
224,18.886875
225,19.618125
226,18.2025
227,20.7290625
228,21.58875
229,21.23203125
230,20.8153125
231,19.779375
232,20.87671875
233,21.045
234,20.71125
235,20.1290625
236,20.5509375
237,20.075625
238,18.6703125
239,19.66734375
240,20.0990625
241,20.9165625
242,19.68328125
243,21.05015625
244,20.90859375
245,18.834375
246,20.1759375
247,20.4309375
248,19.96359375
249,20.00484375
250,20.04375
251,20.43234375
252,18.6103125
253,19.895625
254,20.12109375
255,19.49296875
256,19.30265625
257,17.69296875
258,17.8303125
259,17.023125
260,15.9384375
261,16.49765625
262,19.41609375
263,19.36078125
264,19.26890625
265,19.11046875
266,18.189375
267,19.996875
268,20.5959375
269,20.32734375
270,19.08328125
271,19.4259375
272,20.342242268
273,17.991398197
274,19.56984375
275,20.1346875
276,20.0540625
277,19.57734375
278,18.676875
279,17.5453125
280,17.82515625
281,17.27578125
282,19.64203125
283,19.438125
284,19.65609375
285,18.38953125
286,16.9884375
287,16.94203125
288,17.56078125
289,18.08203125
290,18.796921875
291,18.24890625
292,17.7946875
293,16.21125
294,17.7065625
295,17.8734375
296,17.99578125
297,18.35671875
298,18.45375
299,17.17359375
300,16.599375
301,16.62703125
302,17.5575
303,17.9934375
304,15.7134375
305,17.82
306,17.80078125
307,16.83
308,15.86625
309,18.25125
310,18.639375
311,18.46359375
312,18.37078125
313,17.938125
314,16.97625
315,17.02078125
316,19.1175
317,18.56390625
318,18.85125
319,19.3603125
320,18.5198625
321,17.18015625
322,16.36921875
323,17.416875
324,17.968125
325,18.05578125
326,18.02765625
327,16.99125
328,16.0340625
329,16.30546875
330,17.60625
331,18.19265625
332,18.6740625
333,18.3346875
334,18.4734375
335,17.5471875
336,16.5159375
337,16.29328125
338,17.07796875
339,18.2296875
340,17.54484375
341,16.54640625
342,15.20203125
343,17.53546875
344,17.08171875
345,17.618390625
346,18.0215625
347,17.7271875
348,17.92828125
349,16.52390625
350,16.865625
351,17.17875
352,17.2584375
353,18.40359375
354,17.32453125
355,15.50203125
356,15.50765625
357,16.18734375
358,15.11109375
359,16.87546875
360,17.05640625
361,16.668515625
362,16.090546875
363,14.95921875
364,15.870234375
