day,wind_ab_mw,wind_ka_mw
1,3.0093047618865967,0.4407952129840851
2,2.8955140113830566,0.438398540019989
3,2.8228065967559814,0.3641020953655243
4,2.767397880554199,0.3202632963657379
5,2.665296792984009,0.2999914586544037
6,2.6035361289978027,0.2808181941509247
7,2.573737144470215,0.24888771772384644
8,2.513192653656006,0.24391961097717285
9,2.480048656463623,0.22570598125457764
10,2.475149631500244,0.2118019461631775
11,2.4591352939605713,0.21602106094360352
12,2.424403190612793,0.18959534168243408
13,2.4292685985565186,0.24171024560928345
14,2.4295387268066406,0.25615257024765015
15,2.4066996574401855,0.193514883518219
16,2.398725986480713,0.16178417205810547
17,2.3872389793395996,0.1547938585281372
18,2.3631834983825684,0.14231127500534058
19,2.3838603496551514,0.12687021493911743
20,2.3696365356445312,0.10840851068496704
21,2.4144701957702637,0.1042642593383789
22,2.3773059844970703,0.09954583644866943
23,2.3766977787017822,0.11752080917358398
24,2.382458209991455,0.12180858850479126
25,2.3716297149658203,0.1673763394355774
26,2.3623385429382324,0.1627827286720276
27,2.370819091796875,0.15599220991134644
28,2.364872694015503,0.12578433752059937
29,0.008165,0.0
30,0.007703,0.0
31,0.2993683333,0.0
32,0.0,0.0
33,0.040613,0.0
34,0.1096125,0.0
35,0.419506,0.0
36,0.026423,0.0
37,0.0052115,0.0
38,0.00536,0.0
39,0.076243,0.0
40,0.0,0.0
41,0.0701031667,0.0
42,0.1710128333,0.0
43,0.0824708333,0.0
44,0.0094825,0.0
45,0.1806438333,0.0
46,0.1036945,0.0
47,0.0,0.0
48,0.014218,0.0
49,0.0756706667,0.0
50,0.0047495,0.0
51,0.030831,0.0
52,0.0078515,0.0
53,0.0269015,0.0
54,0.2465171667,0.0
55,0.1347406667,0.0
56,0.0047825,0.0
57,0.0064325,0.0
58,0.042079,0.0
59,0.19050725,0.0
60,0.1718578333,0.0
61,0.092804,0.0
62,0.15538,0.0
63,0.2465825833,0.0
64,0.0434105,0.0
65,0.026885,0.0
66,0.006548,0.0
67,0.0063005,0.0
68,0.0264065,0.0
69,0.0044855,0.0
70,0.0429865,0.0
71,0.039472,0.0
72,0.1183775,0.0
73,0.040448,0.0
74,0.033042,0.0
75,0.2572963333,0.0
76,0.017617,0.0
77,0.1663286667,0.0
78,0.005855,0.0
79,0.005987,0.0
80,0.049287,0.0
81,0.0,0.0
82,0.0292445,0.0
83,0.010951,0.0
84,0.0923875,0.0
85,0.025881,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.004601,0.0
90,0.00833,0.0
91,0.0,0.0
92,0.004337,0.0
93,0.010027,0.0
94,0.0,0.0
95,0.0044525,0.0
96,0.0127,0.0
97,0.039939,0.0
98,0.0060695,0.0
99,0.0,0.0
100,0.0157195,0.0
101,0.0061685,0.0
102,0.0,0.0
103,0.083286,0.0
104,0.016528,0.0
105,0.0,0.0
106,0.0550265,0.0
